a,b,c,expected
fe68,19a3,64f9,7e00
7c74,7b61,55ff,7e00
2ee3,aa41,694e,694e
65a1,2ba3,e705,e6af
b126,2fa9,72f2,72f2
4572,b0b9,a4f5,ba96
527c,f50b,ce82,fc00
bcec,8211,ee27,ee27
f814,4b8e,dee0,fc00
6b62,f319,4e07,fc00
6863,5aef,31dd,7c00
b656,2d29,a3ab,aa01
020d,594d,c001,c001
8176,6924,fb44,fb44
afa5,ebec,1228,5f92
893d,c5f5,773b,773b
717c,866e,800d,bc68
11f7,88e6,b7d8,b7d8
8c53,a081,0ee6,0ee6
b345,8c90,eb7a,eb7a
ef58,67f8,e01b,fc00
0841,fca2,e4e4,7e00
d104,a7fe,35c0,3e73
55a7,51cb,efb7,eb3e
7ea3,312c,db96,7e00
8d2e,991e,cd8a,cd8a
cc09,aec2,8275,3ed1
410d,2a4f,e7c9,e7c9
165c,d709,2b4b,af8a
b35d,4d68,a500,c4ff
1884,bd13,9707,9c9f
36aa,5bcb,5a00,5ca0
a938,423f,db75,db76
17d3,a51b,4c78,4c78
8c6a,d7a4,caae,caaa
17e4,3ccb,68a4,68a4
6930,8df0,2677,bb7f
662b,3737,c89b,617e
456e,06ce,4785,4785
026b,44fa,c3bc,c3bc
8793,4f71,e94d,e94d
3e81,03c8,b9fe,b9fe
6524,6413,0119,7c00
6b1c,3c00,9876,6b1c
0422,50c5,29e4,2a33
6ef4,943a,9b44,c75a
74a0,23f0,fab2,faa9
84cd,640b,d1e9,d1eb
a113,cab4,88f1,303f
04d7,94fa,bf2a,bf2a
007d,efe1,b0d8,b0d8
5d31,ef1c,e4b8,fc00
3c26,d4de,dcb7,ddfa
19ee,19aa,0cb1,0cb1
2396,9dab,3525,3525
2f53,9896,597f,597f
967d,7f2c,3133,7e00
f54f,07b1,aae9,c137
437b,1176,dc07,dc07
27f1,a554,e080,e080
a3f6,a707,5a9c,5a9c
9d5f,3565,9204,9920
e5ee,b055,c4ae,5a47
ef21,bcc0,b936,703c
9476,3cd9,e9aa,e9aa
57c9,ed9d,d871,fc00
6fd1,3c90,5e19,70a6
8e87,012e,7ae7,7ae7
af70,724b,c3da,e5de
a747,9158,d32d,d32d
77c3,fb20,8c00,fc00
7c92,351e,b7cf,7e00
b68d,4c34,a52f,c6e7
3444,6968,ae59,61c4
1fbd,8cdb,0fc1,0fc1
93f1,42bf,9fc5,a18f
c23e,1648,eca0,eca0
1ea8,5458,b2af,33c5
1b0c,6a48,cef4,cc30
fa4c,4c9e,01e8,fc00
9bca,6543,ee61,ee62
bd7c,8c65,71ed,71ed
0683,6665,1012,3138
fdc5,8de1,1e51,7e00
798c,83e8,bd16,bd16
6352,456c,954a,6cf6
0e80,0557,9ffd,9ffd
a335,c1c6,6658,6658
cad4,0e8e,5c40,5c40
6c4b,eff9,92c6,fc00
888e,2394,2f92,2f92
8b3b,7a5c,95d8,c9bf
45a0,b130,22df,bb31
6df0,7922,57ab,7c00
3865,f7d9,ad0a,f450
9b62,2bc7,fe6d,7e00
dbcd,eb49,63c1,7c00
8bad,2f08,a402,a402
5854,6f19,1947,7c00
8b2f,f5c1,a9c5,451f
679b,7a74,fcdc,7e00
0499,1298,800b,0000
5484,3fe1,d12f,564e
2d24,6bce,2d2b,5d04
b6e3,ab0e,202a,2814
63af,6956,d545,7c00
3f2d,e9f1,696b,e93d
337a,99aa,e3ec,e3ec
6014,8196,fa6a,fa6a
a3f6,114f,e72e,e72e
6c74,547b,998e,7c00
db18,f723,22ca,7c00
9032,af0e,b143,b143
3314,c08c,f1d5,f1d5
9312,b721,b54d,b54b
177c,c3c3,1bef,9a97
e174,6e33,69ed,fc00
8e1a,a69c,1aee,1aee
349b,7922,f687,f325
dc8f,c069,d5a3,6053
fa9d,a691,3001,656e
afb0,aa4c,5a83,5a83
8859,ed58,515d,5174
cdca,8506,bd5e,bd5c
ac6b,be49,7426,7426
1b8c,f89e,0e46,d85b
5bbe,4937,bcf0,690b
5fa9,21bc,1929,457f
d3b7,6023,d453,f7ff
a5c3,2f75,8706,9997
e735,a580,54ab,5725
1577,a6ac,3569,3569
fa2e,2b7a,588c,e97d
3b76,ff95,5c75,7e00
8514,5ad5,24db,1828
6f88,cc19,9208,fc00
f70e,4009,f3d7,fc00
2979,9678,267c,2678
7aa9,ea47,1897,fc00
d2cf,c430,8c99,5b21
f35a,8524,d643,d630
b031,9a97,da12,da12
8e63,1c3b,7ca6,7e00
8cc9,5b58,0091,ac65
9392,3ea3,ffc9,7e00
0be0,a5b6,f8f1,f8f1
f244,faae,6630,7c00
c1e2,cc6b,44e1,531b
72a0,4276,3a94,795a
bfd0,a295,2daf,2f4a
0b24,3e8e,69a2,69a2
83db,9dc6,5c9f,5c9f
660a,e289,23c8,fc00
6a4d,c44c,99fc,f2c5
e1b8,1cfd,5398,5326
8301,453f,b722,b722
1106,fe54,ee91,7e00
6f42,e629,7d75,7e00
5a7c,7ca6,efa8,7e00
7ef0,d9ca,f3e6,7e00
ad17,72bb,c92d,e452
ee12,9643,44d9,4b2c
8465,2a29,791f,791f
64a6,9a6c,d3ed,d432
3023,b2e7,b6e4,b756
b160,1ea3,3782,377e
4048,7a87,d560,7c00
277a,9445,09a8,09a8
ebe6,c2c3,c70c,72ac
1a30,fb3b,0e81,d998
13bb,2a04,09ab,09ab
8e1a,109f,3894,3894
eb07,dce5,86c7,7c00
e631,2042,ebf5,ebfc
9f2b,897c,b039,b039
9d02,2155,7f45,7e00
1481,ead6,d4ab,d4e9
4b01,ea65,e4d0,f9c0
cf22,e961,25d6,7c00
b71d,d073,7d07,7e00
0295,af2b,75b9,75b9
ee23,b9c4,a74c,6c6c
bddc,291e,0d2e,ab75
63f8,7136,00cf,7c00
8a69,c9bd,5a9d,5a9d
8278,e836,eb8f,eb8f
0c0b,7290,b58f,41f0
a78b,4e87,9bd3,ba30
2a02,868f,3e1d,3e1d
80ec,1d16,915b,915b
da72,bc67,7275,7291
6604,d7d3,ef67,fc00
f4f7,a16b,4940,5b0e
7e78,411d,8094,7e00
3453,4fc5,d995,d952
dbd1,f1c7,66e6,7c00
131f,d4a0,c3f4,c40a
2b0f,29cb,fe25,7e00
25f3,4ae1,e9fc,e9fc
ce8d,3f23,d1e0,d5dc
1696,5871,faec,faec
e641,4968,c154,f43a
8b01,77da,baf8,c7bf
fbc8,49c0,d74a,fc00
f342,94b3,a6bd,4c41
dd96,4699,8cc3,e89b
fdd1,9136,6105,7e00
45a2,6195,ffaa,7e00
288e,1155,153b,153b
fc64,60f3,f1e9,7e00
900b,7cee,8230,7e00
3029,eaa5,6251,5db9
55ac,8722,2c9d,2bf6
ecd7,afe9,f69d,f677
1dcd,2085,cc42,cc42
6f4f,7c06,73b3,7e00
9e0d,2048,318e,318e
b594,5ea2,1a41,d8a0
db5a,5081,cba2,f026
fdd1,1ccd,9713,7e00
d7d1,beff,7109,7124
1618,e7c1,2318,c1e1
f8fc,fb35,7520,7c00
d0a3,205e,170d,b509
7b40,646d,794f,7c00
9335,20ed,397c,397c
bdb3,2b82,89e2,ad5c
c7a8,5b85,c418,e736
168c,bc74,c9e1,c9e1
bd87,8b94,9be1,9b3a
43c3,4218,7c4e,7e00
b643,9cac,f7bb,f7bb
5c0b,1f1f,b07f,3ea3
2e5f,705b,2e8c,62f0
221e,834d,6e13,6e13
d691,cbdc,d73b,65ff
89be,3185,ca9f,ca9f
475c,302a,50fd,511c
ec81,943b,6a96,6a98
19d2,191e,9bf2,9bf2
3604,fdd2,a7a1,7e00
7b09,9958,d281,da53
d97d,8f0a,c2b1,c28a
b4fc,679e,d437,e146
75ce,61c8,93d6,7c00
e852,af88,7462,7472
f094,1548,c49b,cc2c
70bd,6ded,2372,7c00
1906,7c4f,e18f,7e00
5afb,a260,7d03,7e00
b703,8666,d627,d627
5b10,a864,0566,c7c1
857b,a333,0cdc,0cdc
a333,81a3,307b,307b
91a5,cce6,deb1,deb1
3c3e,a5e4,7e73,7e00
debe,163d,82ff,b942
c7fc,39e2,7a06,7a06
789a,685b,6bd5,7c00
860d,79c6,26e4,c457
97fc,2a55,0e84,0cf0
f1fd,f4b6,1181,7c00
f63d,5eda,1994,fc00
c8f5,92e5,1e4e,236d
aa94,5a89,5dd6,5dab
9f39,d777,15a6,3ac0
6384,7840,ec0c,7c00
58d4,e7d9,60f1,fc00
b9ec,dcd4,3eb4,5b33
8951,b7e4,d0ac,d0ac
029f,00a3,a1d0,a1d0
abe2,d1f0,12bb,41da
298a,12be,5794,5794
c933,d6ff,f0b6,f024
7274,5f19,29fd,7c00
96c3,6221,f633,f633
926f,6efb,8251,c59d
52e7,1ce2,36e8,398f
6edc,65b3,779c,7c00
4da5,ea29,d814,fc00
fa29,a98c,ca70,683f
d068,78bf,8010,fc00
0c77,8188,61a8,61a8
9880,fc81,c23b,7e00
0e2f,181c,a460,a460
5c09,60f1,4f39,7c00
6fff,dfbb,c8e7,fc00
6314,dd1b,a2ca,fc00
f2f6,6b21,c307,fc00
6fba,5ad5,c8c7,7c00
5bb0,c04e,1f90,e023
1bbb,cf56,6357,6357
dcac,79d2,ba44,fc00
759f,9bab,f9c0,f9c3
5856,6864,a407,7c00
134c,ccc7,edf8,edf8
7056,f82a,8d80,fc00
1e6c,6db2,e197,e14e
5de2,8a97,2c10,a248
4684,4093,5914,598b
70e7,af39,279e,e46d
c16d,bce3,268a,42ae
11b3,b18e,94d2,9551
9586,e9f2,fa1b,fa1b
e232,6dea,69b9,fc00
7504,a304,995d,dc66
e7f5,ed5f,2a07,7c00
153f,b889,a625,a655
6e6e,33df,996f,6653
acdb,5d50,44de,cd3c
ee87,ceff,e167,7c00
f398,8948,cbc1,ca80
79ce,ebb1,63c2,fc00
2e30,c723,7d7d,7e00
1b43,664d,a668,45b2
e8a8,30d8,e179,e425
f076,50bd,1afe,fc00
e171,b709,8894,5cc9
4ea3,628b,175a,756e
55e7,4301,e975,e8d0
830c,a6b4,989f,989f
b95e,0f8f,251f,250b
ed1f,fb7b,74e1,7c00
e20a,4209,b30e,e88e
e910,e3a7,5d91,7c00
68b6,afc8,5698,d9de
11e7,973a,d34d,d34d
d87b,bff9,9bd8,5c77
2e71,6b15,2ff3,5db4
099d,37d3,b6d4,b6d4
2cab,6d1f,fdb2,7e00
82ad,4870,db77,db77
ef94,2fe2,7879,785b
e61f,d4dd,be76,7c00
c026,29f0,930b,ae36
c4e8,abae,de11,de10
8894,6d8c,9bfd,ba61
ea94,3e7d,3787,ed56
812d,5d67,d8ed,d8ed
4286,7296,38eb,795f
a6df,f8ca,70ff,7183
e255,e295,50ea,7c00
e558,aa15,5b5b,5cb2
6f1c,bf0c,4dd1,f240
3301,fa1c,b0d4,f159
d1ce,d9b3,611a,7075
be31,ae5e,65ce,65ce
8ff2,b596,5057,5057
742b,e1cc,a915,fc00
0eaa,69a4,06bc,3cb3
0560,eab7,2202,b453
22be,4675,4812,481d
4016,c99c,741d,741c
1726,986b,fd6e,7e00
2518,dc7f,8ce4,c5ba
746e,5887,a169,7c00
dcb9,8e8f,fe47,7e00
5880,d76b,6504,f3b8
c202,41c0,9783,c851
bc67,f5e2,54df,767e
a73f,7369,df61,e30c
adea,09d8,0c09,0c09
8594,8f7f,992d,992d
38e6,36da,639a,639b
2c41,7ba8,086f,6c12
940c,f588,c9f3,493f
4ba3,ba55,a8e9,ca10
4a59,e139,2a35,f025
8c0b,68d0,f7cd,f7cd
c40d,3678,4da1,4d38
9db4,5d78,3c13,bb72
ca4a,8f8f,86f2,1dd5
5ede,13f6,d445,d43e
2f37,5cd2,c464,4f99
42b9,8883,fe6e,7e00
257c,9483,a413,a413
4789,ba17,03f5,c5bc
c0e2,5c99,0724,e19d
1ee5,95d4,3335,3335
07e7,d366,e994,e994
38c9,6825,fbad,fb85
9703,f0bb,8438,4c25
93ac,3c13,e910,e910
6c76,aa46,0a03,daff
8cdc,720d,0e02,c35a
3ed7,bee4,d14f,d1ad
5ab9,7436,19f3,7c00
6b83,8f77,2afd,beca
aa17,00a1,3e9d,3e9d
c251,3792,f89e,f89e
ecbb,703b,ab92,fc00
af30,0d3e,176d,176d
d8d2,3195,c297,cf8d
a46c,f44b,021d,5cbf
5539,93e5,3474,3254
ab9e,c363,bebf,bdde
2812,e1af,3eac,cd5e
72e3,155d,70b6,70b8
1870,e4b6,29e0,c122
8491,833e,0673,0673
c470,4afa,61db,615f
6afa,252e,b3ca,5480
3f38,83fb,5475,5475
272c,30a0,e990,e990
b0c5,8503,c293,c293
76ef,f42e,47da,fc00
e18e,86c5,762e,762e
484d,c87b,e04a,e0e4
bf66,3888,b259,bcfc
0d8f,a344,d5f8,d5f8
e1f3,763c,2089,fc00
8831,b702,d3cc,d3cc
b66a,6e70,a75d,e929
18fd,7e75,f7ec,7e00
8ac5,cf50,5ffa,5ffa
476c,4a32,5af4,5cea
ef92,45a9,6222,f942
fd2d,1399,3ff2,7e00
7244,f55c,1f3f,fc00
57a4,a7d3,0830,c379
fb94,bc49,62bf,7c00
d904,a963,be45,4530
6659,4d03,727d,7999
3ae6,dd26,13f1,dc71
cba2,7280,0b17,fc00
0d38,aa63,a745,a745
eb28,34b5,42ad,e433
b73b,1d6b,90bb,9a15
1e38,1e1e,0653,0653
3697,f3d8,b223,ee76
5ad4,3b9d,0597,5a80
236b,9269,699d,699d
2555,24db,9386,904a
00a2,87b6,4cdb,4cdb
210d,4277,c389,c379
7f4f,6d8f,ecb5,7e00
87de,2669,1ed8,1ed8
80cc,c245,d62b,d62b
a348,772c,14e3,de87
e6b7,766a,0a53,fc00
9f51,48f9,c36a,c38e
95b8,3e14,b8c3,b8c7
42b1,8fa0,77da,77da
7e06,ec45,7a7e,7e00
e58e,37d1,c29f,e174
1ef7,bcca,0493,a022
d5d7,2e8e,a3af,c8cb
98c6,ff94,c5a9,7e00
2e99,09eb,8f77,8f77
b37f,588d,1538,d044
50a4,4939,d814,5c05
f451,6e44,fc82,7e00
ce56,86d9,dfa4,dfa4
7bd7,6930,4792,7c00
e172,5758,f354,fc00
717f,a78b,3ff8,dd27
19bc,61a8,18a0,400f
1cb1,7274,5ec3,5fb5
637e,59e9,3bf8,7c00
f946,8255,4bf6,4bf6
0920,f250,2697,bffc
7e3c,823c,1d61,7e00
181b,5bb9,482a,4869
b6a8,d9a6,ae55,54b1
b0b0,5210,0661,c71b
f3c5,c5ed,30c5,7c00
aa61,0e40,bb49,bb49
3354,ee04,4601,e57d
3815,fc6f,b438,7e00
0c41,db49,0061,abbf
2c8f,776f,31b2,683c
327c,0ea6,6c55,6c55
f24b,2157,dfee,e104
5fa7,d525,77bb,f03a
123a,be89,4262,4261
06bf,e8f2,873e,b42c
2a30,93bf,a81f,a81f
f986,4914,3213,fc00
2499,f97e,2443,e250
776d,3373,78d5,79b2
168e,1977,2ae7,2ae7
78d4,784e,46d5,7c00
ea73,3a5b,030d,e920
bf9a,dd7c,6be8,6c9b
1aa7,4839,cf1b,cf19
9c19,d370,71be,71be
8841,3f98,56f7,56f7
34fd,4f82,a7c7,48aa
642b,5c60,c629,7c00
a3f3,48e2,5305,5300
faa6,bdb3,6716,7c00
5a58,c97a,34b1,e858
95aa,7f92,1ac4,7e00
f132,730a,09f7,fc00
190b,ee49,c007,cc77
df97,c9fb,81db,6dad
5528,28a3,e1e4,e1de
fe54,1c47,1a36,7e00
5388,522e,9f8e,69d1
57af,08ed,9467,2475
34d1,ba29,1b3b,b34e
71d3,4dc5,2d0b,7c00
3981,4b06,934f,48d5
1982,2b6c,0102,091c
011a,3671,076a,076a
1027,19e5,aba0,aba0
e8db,4c80,d3f6,f978
5bff,fe07,8264,7e00
fb9f,b77b,42af,7720
4e6a,6264,0903,7520
9bdd,2bc5,d96d,d96d
e6f5,1712,0a1f,c226
ea88,f60b,f78a,7c00
3b2d,af76,9c0f,aef2
d480,623e,7c6c,7e00
a776,d3f4,ce14,cd9d
c29d,d10c,dca1,d916
0503,839b,0465,0465
05f9,f6de,663a,6637
20f6,4e7f,3f1a,400e
1f44,2618,d882,d882
a960,68c3,8f18,d666
6793,f3a1,5e99,fc00
fd7d,ebfd,5a84,7e00
80e2,3abc,2ddb,2ddb
7ddc,c108,2573,7e00
ade5,75b1,0285,e832
78d2,fe3b,3fab,7e00
dd78,758a,55c1,fc00
cbae,b56b,676b,6770
49c8,aad4,3ed7,3c60
b4e1,b3d5,2482,2de8
024b,31db,e71d,e71d
a3d9,0fef,8d14,8d14
d89b,4ef7,64d9,e998
60bd,75a0,63d4,7c00
e6a2,46b3,aa21,f18e
b028,1932,33ae,33ab
7151,1539,844a,4af1
9bb8,4916,2caf,2876
a37f,3e95,1910,a589
1b44,da6b,468a,45d0
2b5d,9f0e,7f5a,7e00
23a2,3120,e2d3,e2d3
6b7c,f90f,57a1,fc00
0441,91e2,23a7,23a7
28f7,009b,e42e,e42e
07a6,29c5,98c8,98c8
9693,707b,d800,d876
53c7,8ef6,a356,a938
627f,e8be,2642,fc00
da03,81b9,5798,5798
f72e,d725,b88e,7c00
dcbe,9214,18e2,3349
2538,6e74,c3b4,5817
ad2d,1ff3,be8d,be8e
d7e3,41cb,5d90,c8c0
d226,8188,af62,af62
c6fb,734c,dcce,fc00
28d1,c472,eee0,eee0
5285,1cfa,58da,58dc
0996,e5ba,ce5a,ce6a
4561,3b77,1a2d,4506
0a25,008d,0a63,0a63
51f4,2347,3abd,3e14
ee22,b692,961d,6909
17fe,2f4d,55fa,55fa
2253,a770,2118,20e9
c1a7,5b57,f10d,f160
1099,ba65,86d6,9088
d295,47af,0ff8,de52
d052,de6d,3bb2,72f1
4b82,a5a9,5512,550d
5ec8,e91b,13d3,fc00
28ac,bd46,6ecd,6ecd
1c3e,bc48,2afa,2a69
367b,3576,7278,7278
c5fb,3312,cbae,cc2c
dbf3,118d,e477,e477
c3a5,85b4,373c,373d
caa3,7ba7,a9d0,fc00
c11d,c108,e93f,e93c
1aa0,2d77,fb33,fb33
b858,b68d,f4ca,f4ca
7334,c6e2,2be8,fc00
7fba,694d,e8dd,7e00
8028,16c3,7ffa,7e00
2043,c3db,f707,f707
3a01,3f68,9e7c,3d89
5e6d,d655,efa8,fa0b
f677,cc7e,14fe,7c00
52b6,5c0f,89dc,72cf
243d,7b70,c9af,63ca
269d,e90b,d422,d826
030a,fe3f,71ed,7e00
e631,05d4,76fe,76fe
c294,c544,352f,4c69
e513,af64,a7c2,58b0
1eab,3fa0,1bf4,242c
07fc,1cc8,4dbc,4dbc
7788,b543,6422,f070
23d0,51e1,c2d7,c168
e9df,ac40,b407,5a3b
5d2c,8156,7dae,7e00
85a7,694b,19b5,b364
ae4b,18ad,fa2e,fa2e
c20e,a768,b292,af89
6819,f333,5a5c,fc00
4195,38e7,3a14,40f0
5f32,a625,7713,7712
f1f8,ce9c,30b2,7c00
7083,4736,45c6,7c00
a95b,7a1b,8303,e816
5595,784b,bfac,7c00
2242,2b55,b5eb,b5e8
00c1,87d7,44a1,44a1
c95a,2bb6,f568,f568
a700,7e47,a456,7e00
4fa5,9d05,08d5,b0cb
ce98,6ed1,6790,fc00
1a3c,530b,7105,7105
a2d9,111a,9e87,9e87
b5d2,4d7b,7169,7168
5dc0,b1b8,285c,d41b
a66c,0af0,7362,7362
75a7,208d,1522,5a6e
45af,daec,f753,f7a2
7737,16b0,1a8c,5208
52bc,d3e5,a830,eaa5
452d,d370,e4bd,e5f1
4487,922a,7193,7193
937b,bb60,9259,0460
7726,4154,0ef4,7c00
c7b0,42bf,313d,ce72
7a69,156a,ff35,7e00
697d,58e8,c708,7c00
1557,b624,1330,0e2e
1228,fe10,8357,7e00
e714,8b32,ae3a,34d0
bfa6,c0b6,0c28,4481
5626,118c,56bf,56c0
3b0a,85ed,3e92,3e92
538a,454c,e87e,e7bc
ce2d,ce2c,f000,ef68
aca7,ee6b,2012,5f77
ad4b,b247,31c7,324c
ebbc,d7f4,a46c,7c00
ad0b,19bc,0cef,0546
57a0,ed2c,fa59,fc00
d866,83db,0cf9,0cf9
3dc4,9207,bc98,bc99
335a,e0ad,3556,d849
ce9d,8bec,d9ae,d9ae
02d6,0eb0,56ae,56ae
0753,5b51,b691,b626
0fc1,9543,43dd,43dd
0ea0,ea7e,61a3,61a0
4251,f9e4,7e92,7e00
86ee,299b,83a7,0000
3453,7470,8ee0,6ccc
414b,ad79,5ef2,5ef1
4a8e,3828,efa6,efa4
1701,93be,8f1c,8f1c
5068,c0c9,c9c1,d5fd
8732,274a,e7cc,e7cc
f509,238d,30d1,dcc0
1232,2c75,fac8,fac8
9d78,9e26,b61b,b61b
4302,4c53,e9c5,e9a7
ea9a,f274,2e01,7c00
865c,76a5,8182,c148
178f,6d5d,1927,4911
5901,3450,cfa8,4a44
6ffd,710b,c9a2,7c00
08ea,8740,bd36,bd36
5f2c,07ce,7bd9,7bd9
9564,24d4,923d,923d
3030,247e,d0de,d0de
9b98,1d16,c597,c597
95f8,1d25,871b,871b
2914,35b5,446a,446e
f691,d9a3,8a62,7c00
8dac,6176,8848,b3bf
8fb4,27e5,ee79,ee79
f41d,8cbb,6d6b,6d6c
a761,871f,45c2,45c2
48c2,349b,ccab,cbf8
9b4e,d428,0c3e,3399
c816,4167,3c4a,cd40
fa2f,ba9f,27f9,791e
bffa,ff38,0475,7e00
4663,f57b,4fa0,fc00
a797,b2a6,8d21,1dfd
59b7,9e9b,2ba4,bc7b
4006,0cc3,99a4,9872
6637,5340,6cc0,7c00
4a2e,ac93,1712,bb0d
be9c,ccc9,9dbb,4fe8
4391,07db,c5a2,c5a2
d5aa,abee,b5de,453f
2dda,707d,b98a,6290
f330,2b70,c725,e2bd
223f,5944,3587,40cd
03a1,2eaf,ce73,ce73
65b7,eccb,bde5,fc00
7340,441e,bd83,7b76
1670,476c,a5b1,a169
9b44,1b9d,a577,a577
4d57,81ba,6e42,6e42
d84a,122c,5f03,5f03
de99,a49a,1dad,4798
b7f5,916a,19bf,1a6b
bfda,64e9,2e32,e8d2
6731,4905,373a,7483
d87c,c38e,d0f4,5fda
f21d,cfa9,d9e4,7c00
0879,487c,5624,5624
18a9,207b,1f64,1f64
7c22,6c56,5a85,7e00
76c3,0311,17fb,17fb
18c8,4970,631c,631c
f04c,503a,f9ae,fc00
3a7d,15f3,8790,145a
e86c,8edf,9bef,3b91
a515,b043,6c44,6c44
0ca4,3de8,0930,10b9
078c,2aa1,216c,216c
ff55,5334,157a,7e00
2956,c3b2,fb82,fb82
b629,2561,c59f,c5a1
ec6c,de32,12f9,7c00
fdf0,0154,abad,7e00
417e,f3eb,6614,f93f
212b,008a,0166,0000
d343,25f2,4d80,4d2a
865b,77be,6517,6514
3e7c,d9e2,938c,dcc5
e46e,fb61,688a,7c00
33e3,f9b2,99fc,f19d
d910,4c62,4efb,e97e
df51,8867,24d5,2d3c
b6f8,ae97,9af9,294e
4b12,30a4,e3e6,e3e2
bf54,4a07,051b,cd85
3a04,6290,8a64,60ef
a8a3,6775,ce92,d5f6
27fe,983f,cc5a,cc5a
0474,f761,610a,6106
6735,06ac,0e2e,3206
4c8b,28f5,6e94,6e94
aef5,d98a,65e6,65f9
41db,1e04,63d0,63d0
04b7,b413,07a8,07a8
022d,73f9,be0b,be0b
3645,7e10,0372,7e00
e892,9299,fd2f,7e00
ea6b,96eb,db33,db07
735f,3245,1bfe,69c7
32b6,9ef9,94e3,995e
1c65,e64a,6da0,6d9e
dfbd,34d7,0996,d8ae
518e,c79a,f2ca,f2f4
32bf,0af8,99f2,99f2
8ef1,8dd0,76b2,76b2
d7b4,bbcd,0eda,5783
7051,525b,47b2,7c00
56ae,17fe,6eee,6eee
cb03,a386,816c,3298
d0a2,4c2f,e9fe,eb34
bd48,8747,4073,4073
9bac,1f50,0950,0950
f370,3ae0,8f5f,f264
b347,3892,9e3e,b05a
bf25,5542,09ba,d8b2
db44,b40c,63ae,6412
5ded,c6bc,691e,5420
5ff6,cacf,8471,eec6
69df,d015,8d5c,fc00
16d5,52aa,8f42,2daa
ce35,4b89,5729,dc0f
693f,307d,0114,5de3
c7cf,44cb,98c1,d0ae
2ea8,ce97,3e22,bcd6
c2b7,e51d,5038,6c53
dedd,dd2e,6ca2,7c00
3012,dd71,2907,d188
4b19,9070,ede7,ede7
2d46,e21d,2a86,d407
3242,0440,0d23,0d23
8018,2624,d800,d800
eb8e,d624,508c,7c00
a6e7,3287,1f84,1788
c8bb,1c7f,a0c8,aa83
2c7e,a100,4ea3,4ea3
7222,28c1,3abe,5f4d
cc67,6e16,2d08,fc00
5321,d3ad,ffcd,7e00
bd7f,dd03,219d,5ee3
87de,0565,044a,044a
4d62,ce47,5f02,d5c0
a38d,80bb,efcc,efcc
aeac,27df,5521,5521
082c,6e3c,4852,48ba
947a,2165,560f,560f
1441,3ba7,1690,1951
e976,30a1,5ee9,50b8
dd7b,9e8f,3d65,4330
9cbb,9941,b1c1,b1c1
c5d9,b40c,f8b7,f8b7
286e,779e,89fb,6438
d521,e926,fdc2,7e00
0b87,44d6,e3cd,e3cd
1277,cf7d,9636,a670
e41a,8e75,8adc,369e
5ce6,c634,6f26,6d40
0940,fb90,3ce8,c859
569d,81b4,8b0c,8b0c
8614,dd92,b434,b359
ef12,5d38,e518,fc00
bad5,781e,2950,f708
40b6,1c16,5a1f,5a1f
95bd,dc49,3c09,3d92
5de3,d5c7,0635,f840
e633,6293,009f,fc00
2f71,3c0d,7cb1,7e00
999b,3f6d,a3f3,a546
2034,3997,7b4e,7b4e
b415,b41d,dabe,dabd
4903,84cc,dc3a,dc3a
15d6,db07,15d1,b51a
240b,6e76,979e,5688
2fcd,3d21,9351,30f9
1ef7,b161,be7e,be7f
b44a,1b68,36cb,36c7
be30,5e4e,b5b8,e0e1
d3de,e4f0,5bf9,7c00
c75c,7c99,c711,7e00
0c5f,aed5,6925,6925
58d0,6d56,f457,7c00
e331,3707,57a8,dc67
8985,d944,3bab,3be5
e378,d73f,149c,7c00
a29b,9e8a,9278,91cb
4a40,166a,7e92,7e00
d088,f79a,16a1,7c00
91ab,15c3,7a63,7a63
3f51,bb8e,6332,632f
a88c,6452,08b0,d0e9
a0c5,ea6f,be37,4f49
d7cb,fab2,ada4,7c00
a990,7eb9,a1d6,7e00
98d9,879c,f3a0,f3a0
af3b,67da,aed8,db1a
fa77,5bb6,f389,fc00
18ae,7016,4ed4,51ce
2f94,80ea,3c0c,3c0c
7464,e3a0,ce17,fc00
5f6b,820a,d710,d710
6dc3,b1ae,d318,e450
265d,16c8,3214,3214
3f53,9bd2,16d2,9d74
f68b,0524,eb29,eb2a
b390,4464,55f5,55e4
d52f,3b66,4a1b,d408
63ff,5628,0562,7c00
cd2e,05ef,5691,5691
9eff,97cd,e0e2,e0e2
14eb,d368,237b,ab3d
95c6,4fe8,340c,32ab
08d1,6ae4,618c,618d
b463,681e,3b81,e082
3e0f,7288,5148,74f5
cca5,75ca,cf35,fc00
f3b7,87d5,c7e0,c5fc
6c63,2a6c,a756,5b0b
a4ac,46ec,e0a1,e0a1
4f88,46d7,6307,6452
dd06,7723,b911,fc00
5c02,f41b,d945,fc00
bfeb,e3ab,4c94,67a9
421b,b9e7,f335,f335
c5b5,d440,2163,5e10
ee14,acfb,80ea,5f91
38e2,c60c,1d38,c35f
6830,1075,2835,3ccc
8689,da34,f42b,f42b
df2e,0834,ae49,b107
f22d,6e0c,4ea4,fc00
cc65,4717,8f01,d7ca
a7d5,1f50,9b63,9bd6
918d,7c89,42a2,7e00
5f98,a182,886e,c53a
ca65,8810,ef0b,ef0b
8cb5,d373,5e17,5e17
321c,f0aa,7998,795f
e2e3,0579,4cbb,4cb6
3b59,68e5,af40,687f
4f53,9076,4c9b,4c9a
ab0f,2eae,29d0,2913
a867,2e5b,0ab9,9a93
d7cb,0f1a,7df5,7e00
aeb4,f6a9,16ba,6995
